portfolio,total_fees,num_trades,num_trades_saved,taxes_HODL,end_price_HODL,taxes_rebalanced,end_price_rebalanced
EXP-PTC-EFL-LSK-NEOS,1092.153219850463,668,0,4032.583344858538,21130.333379434152,15541.629238068444,33816.15424523397
VRM-ABY-XVG-NXT-ERC,3804.4306363095834,784,0,13672.621205669211,59690.484822676844,56292.774371512794,107900.61161926216
BCY-EXCL-ETC-VIA-LTC,662.1076541684821,620,0,3370.3395194195145,18481.358077678058,9787.840508208727,27313.22782756477
SBD-ENRG-DMD-PTC-WAVES,1322.1619917194525,680,0,2542.968778968931,15171.875115875724,18137.551829801647,38621.1382099907
XMY-POT-XCP-BTC-NEOS,691.1775359482882,546,114,1496.0090131901202,10984.03605276048,12354.786578576557,23713.617517890172
SPR-ABY-CURE-AMP-BSD,1303.8987273008293,772,0,1478.0176208094354,10912.070483237741,15148.571691574749,34540.61820982571
FTC-FLO-ETH-VIA-PPC,708.9770242013185,630,0,3487.769215031756,18951.076860127025,10447.446467903972,32663.822122683014
EBST-LBC-BYC-BURST-AUR,2001.2620027247663,800,0,2416.268130278642,14665.072521114567,23151.458454150397,54194.51865943735
GRC-EXCL-AMP-FTC-NEO,1909.9189572476068,726,0,21366.735762882778,90466.94305153111,30234.59676949125,70148.5128182887
NAV-FTC-NXT-ABY-DCR,1391.5425156468355,726,0,3775.02980272021,20100.11921088084,22298.660221842634,51681.00040259703
XLM-VRM-ZCL-MONA-GRC,4332.691295403932,862,0,7214.003394381396,33856.013577525584,55133.84171509951,134595.29233196267
ETH-CLAM-BURST-ENRG-DMD,642.805499581565,618,0,2249.731789673405,13998.92715869362,9733.4199900854,24479.877052255644
BCY-STEEM-EGC-EMC-EFL,849.6598973108466,658,0,2431.27555346428,14725.10221385712,12534.075961243767,33523.94477040678
DGB-RDD-EMC-XMR-XMG,1321.5416268251413,646,0,4086.5819074997953,21346.32762999918,22679.555047606253,59480.60263608096
ETH-NXS-SEQ-DOPE-STEEM,2310.4508621551513,744,0,4601.379530911855,23405.51812364742,30552.843784207103,78486.9079631421
NLG-XMG-BTC-RDD-POT,755.239083066404,505,91,2811.0538848592187,16244.215539436875,14482.687675441106,34267.474807672974
EXCL-EBST-FLO-VTC-POT,2523.4936682922894,810,0,3877.1656824243582,20508.662729697433,34098.24703327998,72920.29388023127
LBC-PTC-PIVX-LSK-CURE,1211.1707311666773,660,0,4725.361252117335,23901.44500846934,19260.6300603353,41911.70901961729
SEQ-EXCL-VIA-DASH-RDD,2000.6576617409712,718,0,5355.194474941016,26420.777899764063,31178.553467127622,70023.28691998696
ABY-PPC-BSD-EBST-XMG,2477.9502710769957,742,0,2579.2885645392894,15317.154258157158,34067.300316798355,68881.41888018032
